time (s)	magX	magY	magZ
6434.833483	172.217361	-86.161079	-74.863678
6434.836816	172.684937	-85.985741	-77.084595
6434.840149	174.379837	-86.219521	-78.019722
6434.843478	175.373413	-86.044189	-78.662621
6434.846815	176.600769	-86.570190	-80.766655
6434.851097	179.523026	-86.570190	-82.870689
6434.854423	181.217941	-86.979317	-84.682495
6434.857673	182.036179	-87.154648	-85.208504
6434.860998	182.795975	-87.446877	-86.786530
6434.864350	185.309128	-87.855988	-88.364548
6434.867233	186.010468	-88.089775	-89.650345
6434.870567	187.237823	-88.498894	-91.579041
6434.873928	188.815842	-89.258682	-93.449295
6434.877260	190.510757	-88.791115	-94.209091
6434.880602	191.679672	-89.141785	-95.904007
6434.883508	193.491470	-89.609352	-98.300262
6434.886808	194.134369	-90.369141	-100.638077
6434.890147	196.121521	-90.310692	-101.690094
6434.893508	198.108643	-90.135361	-103.560341
6434.896813	199.920456	-91.304268	-105.839714
6434.900147	201.323151	-91.947166	-108.002197
6434.903475	202.959625	-92.356285	-109.697105
6434.906820	204.888321	-92.590065	-111.684250
6434.910145	206.875458	-93.116074	-114.781853
6434.913477	208.862610	-93.408302	-116.067650
6434.916808	210.499069	-93.291412	-119.106804
6434.920141	212.427765	-93.992752	-121.678398
6434.923476	213.772003	-94.343430	-124.016212
6434.926806	216.518936	-94.226532	-127.347603
6434.930139	218.506088	-94.927879	-129.568527
6434.933476	221.136124	-95.336998	-133.016800
6434.936817	223.473938	-95.512329	-136.289734
6434.940143	225.577972	-95.921455	-139.504242
6434.943473	227.915771	-95.746117	-143.069397
6434.946811	229.493820	-95.863007	-145.816330
6434.950142	232.825195	-95.921455	-149.790619
6434.953476	234.812347	-96.564346	-152.946671
6434.956808	237.734619	-96.973473	-156.628723
6434.960137	240.598434	-96.389015	-160.076996
6434.963474	242.702454	-96.622795	-164.577286
6434.967667	246.793640	-98.025482	-173.636322
6434.970984	249.715912	-97.850143	-177.259918
6434.974379	252.813492	-97.733253	-181.701782
6434.977679	255.677338	-97.265694	-185.559174
6434.981066	258.132019	-97.207253	-190.702362
6434.983926	261.229645	-97.265694	-195.670227
6434.987236	263.041443	-97.441032	-200.112061
6434.990554	265.729919	-97.616364	-205.021484
6434.993897	267.191071	-97.499474	-209.872437
6434.996798	270.989990	-97.148804	-214.898743
6435.000132	273.094055	-97.557922	-221.678406
6435.003464	275.373413	-97.791702	-227.055389
6435.006797	278.587891	-97.441032	-231.906342
6435.010132	281.217957	-97.324142	-238.160004
6435.013466	283.672668	-97.674812	-243.536957
6435.016821	286.653351	-97.967033	-249.498383
6435.020136	289.108063	-97.674812	-255.868927
6435.023468	291.212097	-97.557922	-263.116150
6435.026799	293.433044	-96.681236	-269.720490
6435.030130	296.179962	-96.973473	-276.091034
6435.033462	299.686676	-96.389015	-282.344666
6435.036801	301.615356	-96.038345	-289.767242
6435.040131	303.602509	-95.278549	-297.189789
6435.043466	305.531189	-94.927879	-304.553894
6435.046797	309.388611	-94.284981	-311.391998
6435.050126	311.492645	-92.882294	-319.399048
6435.053461	313.538239	-92.531616	-328.048920
6435.056798	316.402039	-90.953598	-335.413055
6435.060146	317.921631	-90.427589	-342.894073
6435.063455	319.616547	-88.849564	-351.427094
6435.066800	321.954346	-87.622208	-360.369232
6435.070132	324.584412	-86.219521	-369.311371
6435.073456	325.636414	-84.115486	-378.311920
6435.076797	327.623566	-83.005028	-386.728088
6435.081480	331.364075	-78.621628	-405.605927
6435.084408	331.597839	-76.634483	-415.307831
6435.087713	333.526520	-74.530449	-424.834442
6435.091085	333.701874	-71.841965	-433.484344
6435.094309	335.805908	-68.978142	-442.894073
6435.097213	336.448792	-66.172760	-453.238892
6435.100551	337.617706	-62.899822	-462.707062
6435.103917	337.150146	-60.036003	-472.993439
6435.107220	338.026825	-56.763058	-482.636902
6435.110550	337.734619	-53.782349	-492.338806
6435.113456	337.267059	-49.983398	-502.625183
6435.116791	337.150146	-47.119576	-511.859558
6435.120123	335.922791	-43.028400	-521.619995
6435.123455	333.760315	-39.229454	-532.490784
6435.126788	333.409668	-35.547398	-542.251160
6435.130181	332.240723	-31.690002	-552.186890
6435.133480	329.610687	-27.365047	-561.771973
6435.136791	327.798889	-22.806309	-571.999878
6435.140123	325.168854	-18.422909	-579.247070
6435.143449	322.655701	-13.922615	-589.942566
6435.146803	320.142548	-9.246987	-600.170532
6435.150122	316.752747	-4.805141	-610.632263
6435.153449	312.778442	0.747168	-617.704163
6435.156790	308.511932	6.299477	-626.821594
6435.160119	304.596069	10.741323	-635.062378
6435.163451	300.563385	16.468967	-643.303223
6435.166782	295.420166	21.612160	-653.005127
6435.170120	289.984741	27.222912	-659.667908
6435.173448	284.666229	32.599884	-668.960693
6435.176799	280.282837	38.736649	-675.974182
6435.180119	274.204498	44.581181	-682.870728
6435.183453	267.600189	50.016602	-689.650391
6435.186786	261.638733	56.620926	-695.787109
6435.190113	254.040848	62.991474	-700.813416
6435.194367	239.429504	76.550789	-712.210266
6435.197627	231.480942	83.272003	-716.769043
6435.200965	224.116837	90.343887	-720.626404
6435.204291	216.109818	97.357330	-724.425354
6435.207684	207.401459	104.429222	-727.347595
6435.210992	197.816437	111.676437	-729.627014
6435.213889	188.991180	118.865227	-731.146545
6435.217227	180.399719	126.346222	-734.244202
6435.220563	171.457581	133.651901	-735.997498
6435.223879	161.872528	140.548447	-735.705322
6435.226775	152.053711	148.263245	-736.640442
6435.230114	142.527130	154.633789	-735.588379
