time (s)	det(V)
8062.437643	0.030918	
8062.439236	0.088515	
8062.440933	0.039168	
8062.442497	0.090739	
8062.444202	0.084881	
8062.445759	0.125733	
8062.447461	0.030636	
8062.449006	0.047563	
8062.450721	-0.004390	
8062.452268	0.014116	
8062.453997	0.057626	
8062.455498	0.034016	
8062.457253	0.028606	
8062.458731	-0.033261	
8062.460509	0.038822	
8062.461997	0.004730	
8062.463773	0.030358	
8062.465262	0.012609	
8062.467049	0.017411	
8062.468526	0.023635	
8062.470282	0.054593	
8062.471785	0.021955	
8062.473529	0.028630	
8062.475049	0.016303	
8062.476773	0.038616	
8062.478307	0.019619	
8062.479828	0.023885	
8062.481426	-0.031058	
8062.482914	-0.022389	
8062.484563	-0.045600	
8062.486084	0.038741	
8062.487753	-0.033692	
8062.489240	0.021677	
8062.490880	0.015353	
8062.492379	-0.045362	
8062.494032	0.080410	
8062.495523	0.015175	
8062.497184	0.040385	
8062.498672	0.046975	
8062.500349	0.076760	
8062.501828	-0.007601	
8062.503490	0.106932	
8062.505004	0.017020	
8062.506644	0.085731	
8062.508196	0.022600	
8062.509806	0.141193	
8062.511380	0.063721	
8062.513047	0.154261	
8062.514639	0.097816	
8062.516305	0.191632	
8062.517894	0.075798	
8062.519532	0.222533	
8062.521131	0.085272	
8062.522757	0.215161	
8062.524428	0.198331	
8062.526014	0.278269	
8062.527690	0.196051	
8062.529271	0.225144	
8062.530956	0.191475	
8062.532540	0.292231	
8062.534202	0.192752	
8062.535757	0.275695	
8062.537460	0.262611	
8062.538997	0.286442	
8062.540691	0.293762	
8062.542198	0.316631	
8062.543958	0.293271	
8062.545444	0.316091	
8062.547201	0.355911	
8062.548686	0.353989	
8062.550462	0.397000	
8062.551946	0.397797	
8062.553734	0.411546	
8062.555221	0.378046	
8062.556978	0.436755	
8062.558475	0.410611	
8062.560225	0.472861	
8062.561735	0.403368	
8062.563487	0.478916	
8062.565015	0.440558	
8062.566725	0.514373	
8062.568263	0.422882	
8062.569977	0.531070	
8062.571524	0.481969	
8062.573222	0.563112	
8062.574777	0.484507	
8062.576470	0.575644	
8062.578041	0.471153	
8062.579704	0.562967	
8062.581290	0.480475	
8062.582952	0.593264	
8062.584540	0.491673	
8062.586179	0.618590	
8062.587787	0.544884	
8062.589395	0.639662	
8062.591056	0.526252	
8062.592638	0.599221	
8062.594314	0.557383	
8062.595792	0.548601	
8062.597424	0.595398	
8062.598905	0.584204	
8062.600536	0.642550	
8062.602030	0.580401	
8062.603656	0.653866	
8062.605176	0.639069	
8062.606750	0.686837	
8062.608287	0.681689	
8062.609813	0.716035	
8062.611409	0.700735	
8062.612997	0.754376	
8062.614587	0.747750	
8062.616137	0.825847	
8062.617780	0.838149	
8062.619272	0.896463	
8062.620976	0.873035	
8062.622457	0.890630	
8062.624200	0.962495	
8062.625670	1.006082	
8062.627400	1.070265	
8062.628948	1.100482	
8062.630676	1.092288	
8062.632187	1.182055	
8062.633934	1.203631	
8062.635419	1.236115	
8062.637202	1.315050	
8062.638683	1.386609	
8062.640470	1.435992	
8062.641942	1.441861	
8062.643722	1.539351	
8062.645204	1.538086	
8062.646971	1.672821	
8062.648458	1.638456	
8062.650213	1.703859	
8062.651737	1.703871	
8062.653488	1.704520	
8062.655010	1.704222	
8062.656747	1.704589	
8062.658275	1.704307	
8062.659978	1.704677	
8062.661516	1.704601	
8062.663226	1.704734	
8062.664781	1.704298	
8062.666475	1.704556	
8062.668046	1.704415	
8062.669727	1.704782	
8062.671300	1.704681	
8062.672967	1.704766	
8062.674553	1.704464	
8062.676180	1.704665	
8062.677798	1.704500	
8062.679408	1.704866	
8062.681074	1.704629	
8062.682685	1.704701	
8062.684334	1.704480	
8062.685944	1.704681	
8062.687624	1.704504	
8062.689203	1.704826	
8062.690900	1.704625	
8062.692460	1.704717	
8062.694132	1.704427	
8062.695694	1.704649	
8062.697385	1.704625	
8062.698944	1.704637	
8062.700667	1.704532	
8062.702173	1.704629	
8062.703926	1.704718	
8062.705408	1.704641	
8062.707198	1.704657	
8062.708689	1.704391	
8062.710224	1.704609	
8062.711755	1.704516	
8062.713324	1.704593	
8062.714910	1.704508	
8062.716394	1.704508	
8062.718045	1.704629	
8062.719533	1.704580	
8062.721167	1.704669	
8062.722688	1.704375	
8062.724328	1.704580	
8062.725807	1.704576	
8062.727451	1.704572	
8062.728924	1.704605	
8062.730623	1.704649	
8062.732116	1.704597	
8062.733836	1.704758	
8062.735334	1.704601	
8062.737035	1.704564	
8062.738507	1.704476	
8062.740191	1.704733	
8062.741706	1.704601	
8062.743428	1.704754	
8062.744963	1.704589	
8062.746666	1.704810	
8062.748209	1.704633	
8062.749905	1.704967	
8062.751465	1.704528	
8062.753144	1.704742	
8062.754700	1.704689	
8062.756359	1.704758	
8062.757936	1.704584	
8062.759592	1.704983	
8062.761190	1.704560	
8062.762824	1.705003	
8062.764443	1.704597	
8062.766056	1.704770	
8062.767708	1.704508	
8062.769305	1.704838	
8062.770963	1.704504	
8062.772564	1.704802	
8062.774256	1.704605	
8062.775821	1.704806	
8062.777500	1.704492	
8062.779050	1.704605	
8062.780745	1.704516	
8062.782293	1.704641	
8062.783998	1.704621	
8062.785521	1.704810	
8062.787263	1.704709	
8062.788737	1.704806	
8062.790534	1.704677	
8062.792015	1.704846	
8062.793791	1.704899	
8062.795269	1.704802	
8062.797064	1.704689	
8062.798544	1.704556	
8062.800303	1.704907	
8062.801798	1.704637	
8062.803577	1.704766	
8062.805071	1.704782	
8062.806801	1.704887	
8062.808319	1.704540	
8062.810053	1.704721	
8062.811583	1.704444	
8062.813314	1.704645	
8062.814869	1.704746	
8062.816580	1.704834	
8062.818131	1.704673	
8062.819839	1.704552	
8062.821402	1.704580	
8062.823071	1.704705	
8062.824667	1.704685	
8062.826154	1.704641	
8062.827785	1.704633	
8062.829308	1.704460	
8062.830941	1.704649	
8062.832412	1.704649	
8062.834059	1.704601	
8062.835534	1.704532	
8062.837185	1.704625	
8062.838667	1.704387	
8062.840276	1.704681	
8062.841781	1.704564	
8062.843455	1.704713	
8062.844989	1.704415	
8062.846616	1.704625	
8062.848172	1.704548	
8062.849784	1.704681	
8062.851368	1.704399	
8062.852967	1.704649	
8062.854576	1.704496	
8062.856137	1.704452	
8062.857762	1.704335	
8062.859373	1.704955	
8062.861042	1.704508	
8062.862628	1.704560	
8062.864299	1.704641	
8062.865901	1.704774	
8062.867555	1.704423	
8062.869142	1.704770	
8062.870841	1.704311	
8062.872399	1.704524	
8062.874108	1.703952	
8062.875652	1.704250	
8062.877368	1.661856	
8062.878921	1.449898	
8062.880638	1.337899	
8062.882146	1.353625	
8062.883885	1.210837	
8062.885385	1.026433	
8062.887168	0.883021	
8062.888651	0.805705	
8062.890436	0.764922	
8062.891914	0.629696	
8062.893700	0.469429	
8062.895178	0.240226	
8062.896947	0.228801	
8062.898444	0.124991	
8062.900199	0.028590	
8062.901704	-0.190873	
8062.903434	-0.267979	
8062.904954	-0.420266	
8062.906654	-0.437165	
8062.908185	-0.653634	
8062.909866	-0.767741	
8062.911417	-0.996211	
8062.913105	-1.025690	
8062.914679	-1.215102	
8062.916352	-1.283458	
8062.917939	-1.521391	
8062.919589	-1.549976	
8062.921191	-1.550721	
8062.922843	-1.550931	
8062.924460	-1.551112	
8062.926086	-1.550955	
8062.927732	-1.551104	
8062.929353	-1.550931	
8062.931005	-1.551084	
8062.932602	-1.550979	
8062.934267	-1.551180	
8062.935848	-1.551044	
8062.937533	-1.551168	
8062.939001	-1.551076	
8062.940594	-1.551221	
8062.942072	-1.551205	
8062.943716	-1.551148	
8062.945202	-1.551193	
8062.946808	-1.551176	
8062.948333	-1.551201	
8062.949882	-1.551112	
8062.951489	-1.551152	
8062.952970	-1.551132	
8062.954604	-1.551229	
8062.956152	-1.551100	
8062.957780	-1.551185	
8062.959294	-1.551184	
8062.960990	-1.551124	
8062.962467	-1.551184	
8062.964164	-1.551156	
8062.965639	-1.551188	
8062.967359	-1.551293	
8062.968844	-1.551225	
8062.970557	-1.551048	
8062.972047	-1.551068	
8062.973821	-1.551180	
8062.975299	-1.551237	
8062.977078	-1.551205	
8062.978556	-1.551241	
8062.980314	-1.551176	
8062.981799	-1.551269	
8062.983568	-1.551176	
8062.985073	-1.551213	
8062.986824	-1.551060	
8062.988331	-1.551277	
8062.990051	-1.551152	
8062.991580	-1.551261	
8062.993288	-1.551052	
8062.994830	-1.551120	
8062.996534	-1.551128	
8062.998091	-1.551257	
8062.999780	-1.551088	
8063.001356	-1.551245	
8063.003022	-1.551136	
8063.004596	-1.551317	
8063.006250	-1.551185	
8063.007839	-1.551205	
8063.009490	-1.550983	
8063.011109	-1.551297	
8063.012732	-1.551124	
8063.014371	-1.551261	
8063.015977	-1.551140	
8063.017618	-1.551313	
8063.019195	-1.551197	
8063.020853	-1.551325	
8063.022420	-1.551176	
8063.024120	-1.551257	
8063.025666	-1.551160	
8063.027379	-1.551132	
8063.028909	-1.551148	
8063.030632	-1.551289	
8063.032145	-1.551180	
8063.033903	-1.551152	
8063.035392	-1.551112	
8063.037170	-1.551205	
8063.038653	-1.551152	
8063.040452	-1.551285	
8063.041935	-1.551064	
8063.043722	-1.551241	
8063.045196	-1.551229	
8063.046958	-1.551140	
8063.048447	-1.551237	
8063.050203	-1.551076	
8063.051711	-1.551128	
8063.053462	-1.551217	
8063.054984	-1.551205	
8063.056530	-1.551257	
8063.058128	-1.551233	
8063.059625	-1.551160	
8063.061288	-1.551253	
8063.062772	-1.551221	
8063.064403	-1.551193	
8063.065930	-1.551233	
8063.067578	-1.551229	
8063.069052	-1.551185	
8063.070681	-1.551160	
8063.072169	-1.551293	
8063.073863	-1.551152	
8063.075340	-1.551205	
8063.077048	-1.551076	
8063.078540	-1.551152	
8063.080216	-1.551128	
8063.081729	-1.551176	
8063.083381	-1.551140	
8063.084916	-1.551261	
8063.086552	-1.551116	
8063.088105	-1.551237	
8063.089783	-1.551180	
8063.091348	-1.551213	
8063.093009	-1.551128	
8063.094594	-1.551144	
8063.096238	-1.551011	
8063.097853	-1.551221	
8063.099470	-1.550979	
8063.101091	-1.551285	
8063.102703	-1.551064	
8063.104344	-1.551257	
8063.105943	-1.551064	
8063.107618	-1.551221	
8063.109190	-1.551052	
8063.110860	-1.551128	
8063.112423	-1.550999	
8063.114117	-1.551031	
8063.115654	-1.551076	
8063.117333	-1.551092	
8063.118869	-1.551112	
8063.120595	-1.551084	
8063.122120	-1.551104	
8063.123889	-1.551120	
8063.125369	-1.551136	
8063.127149	-1.551084	
8063.128629	-1.551027	
8063.130411	-1.551084	
8063.131890	-1.551092	
8063.133685	-1.551027	
8063.135169	-1.551064	
8063.136945	-1.551027	
8063.138440	-1.550846	
8063.140199	-1.550931	
8063.141698	-1.550741	
8063.143438	-1.550874	
8063.144957	-1.550657	
8063.146685	-1.548909	
8063.148212	-1.545376	
8063.149935	-1.491972	
8063.151483	-1.546931	
8063.153175	-1.431447	
8063.154715	-1.469667	
8063.156399	-1.319733	
8063.157979	-1.409295	
8063.159625	-1.261186	
8063.161206	-1.354550	
8063.162838	-1.233294	
8063.164446	-1.311745	
8063.166061	-1.181739	
8063.167693	-1.276985	
8063.169311	-1.138241	
8063.170959	-1.179689	
8063.172444	-1.228452	
8063.174101	-1.135365	
8063.175580	-1.174528	
8063.177229	-1.087191	
8063.178711	-1.122177	
8063.180349	-1.079907	
8063.181828	-1.150894	
8063.183425	-1.058758	
8063.184952	-1.095461	
8063.186505	-1.030315	
8063.188077	-1.006000	
8063.189674	-0.941982	
8063.191267	-1.024872	
8063.192828	-0.938280	
8063.194450	-0.992606	
8063.195972	-0.946711	
8063.197645	-0.928229	
8063.199121	-0.971106	
8063.200851	-0.910114	
8063.202329	-0.964556	
8063.204026	-0.830047	
8063.205576	-0.828721	
8063.207282	-0.812761	
8063.208801	-0.777413	
8063.210561	-0.789127	
8063.212042	-0.798711	
8063.213808	-0.751623	
8063.215296	-0.750262	
8063.217055	-0.682820	
8063.218536	-0.651818	
8063.220320	-0.625795	
8063.221811	-0.592581	
8063.223553	-0.580670	
8063.225050	-0.588356	
8063.226799	-0.529784	
8063.228313	-0.556701	
8063.230009	-0.512788	
8063.231536	-0.551311	
8063.233245	-0.448069	
8063.234785	-0.520132	
8063.236481	-0.395391	
8063.238044	-0.486201	
8063.239718	-0.351704	
8063.241290	-0.418151	
8063.242946	-0.302180	
8063.244522	-0.431134	
8063.246171	-0.306252	
8063.247782	-0.341983	
8063.249395	-0.256168	
8063.251032	-0.338378	
8063.252637	-0.207546	
8063.254299	-0.313121	
8063.255900	-0.211957	
8063.257569	-0.243507	
8063.259157	-0.140366	
8063.260854	-0.232075	
8063.262405	-0.158252	
8063.264116	-0.222572	
8063.265667	-0.147440	
8063.267357	-0.199135	
8063.268915	-0.138908	
8063.270614	-0.135411	
8063.272133	-0.118972	
8063.273904	-0.097046	
8063.275386	-0.115946	
8063.277156	-0.112019	
8063.278640	-0.122090	
8063.280413	-0.099752	
8063.281898	-0.073166	
8063.283661	-0.070604	
8063.285142	-0.145301	
8063.286907	-0.056267	
8063.288412	-0.145228	
8063.289999	-0.072408	
8063.291526	-0.074197	
8063.293045	-0.086371	
8063.294684	-0.082483	
