crossing time (s)	slope (V/s)	crossing number
8725.203960	-52.588207	4836
8726.208104	-51.725726	4837
8727.236955	-54.108920	4838
8728.217539	-51.189531	4839
8729.264858	-50.510049	4840
8730.243638	-48.763279	4841
8731.255892	-43.015779	4842
8732.259707	-43.992987	4843
8733.293579	-44.854884	4844
8734.256554	-43.292127	4845
8735.282172	-40.270889	4846
8736.269475	-39.791864	4847
8737.310460	-36.978345	4848
8738.319802	-33.257648	4849
8739.309708	-34.212660	4850
8740.320786	-32.574388	4851
8741.310982	-32.401912	4852
8742.354778	-28.929575	4853
8743.379290	-24.783795	4854
8744.375204	-27.171351	4855
8745.361653	-22.167169	4856
8746.377653	-24.031547	4857
8747.346681	-21.601468	4858
8748.398715	-23.207250	4859
8749.378257	-21.363361	4860
8750.406771	-20.297301	4861
8751.401369	-19.587335	4862
8752.417871	-19.137397	4863
8753.425252	-18.470161	4864
8754.459845	-17.439148	4865
8755.440968	-16.812542	4866
8756.492727	-16.475549	4867
8757.466205	-14.279852	4868
8758.505544	-13.803208	4869
8759.487720	-14.626624	4870
8760.526069	-12.810390	4871
8761.515467	-14.838463	4872
8762.503104	-12.031793	4873
8763.529744	-9.410695	4874
8764.503498	-11.617715	4875
8765.560461	-8.569570	4876
8766.532622	-11.095434	4877
8767.574650	-9.744030	4878
8768.571659	-8.938328	4879
8769.555442	-9.485078	4880
8770.601998	-10.275057	4881
8771.582345	-6.938918	4882
8772.651388	-7.887201	4883
8773.607353	-6.606181	4884
8774.618892	-8.440027	4885
8775.640925	-7.454651	4886
8776.600570	-7.719311	4887
8777.670096	-6.605578	4888
8778.633790	-6.147080	4889
8779.693584	-5.478969	4890
8780.688371	-4.011893	4891
8781.689676	-4.696755	4892
8782.707869	-6.977791	4893
8783.718921	-2.974317	4894
8784.729705	-3.604617	4895
