time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
9067.502528	332.289978	0.982836	0.013074	51
9069.519411	332.186829	0.943927	0.013083	53
9071.536846	332.180664	0.905842	0.013002	55
9073.554310	332.098572	0.869554	0.012990	57
9075.572362	332.065491	0.829774	0.012557	59
9077.591127	332.050690	0.792693	0.012122	61
9079.611036	332.065918	0.758058	0.011820	63
9081.630264	331.991852	0.723175	0.011580	65
9083.650175	331.889954	0.690622	0.011166	67
9085.669648	331.797180	0.659482	0.011077	69
9087.687962	331.830475	0.632367	0.010770	71
9089.703540	332.061066	0.606271	0.010763	73
9091.717032	332.442749	0.579651	0.010649	75
9093.729239	332.922180	0.553655	0.010720	77
9095.739955	333.141907	0.526441	0.009534	79
9097.756924	333.056793	0.500506	0.009239	81
9099.777221	332.726715	0.475992	0.009041	83
9101.801674	332.491180	0.455037	0.008650	85
9103.824995	332.200775	0.433232	0.008774	87
9105.849651	331.997772	0.412713	0.008613	89
9107.876062	331.938263	0.393122	0.008740	91
9109.894051	331.994812	0.375066	0.008396	93
9111.911944	332.118683	0.358821	0.007792	95
9113.932085	332.174225	0.341598	0.007914	97
9115.949375	332.345490	0.325795	0.007778	99
9117.967547	332.470032	0.309742	0.007813	101
9119.981669	332.574860	0.296099	0.007666	103
9122.005537	332.653503	0.281151	0.007504	105
9124.025463	332.848419	0.268346	0.007305	107
