time (s)	det(V)
8607.370807	0.639396	
8607.372575	0.609893	
8607.374065	0.573191	
8607.375858	0.587189	
8607.377336	0.570270	
8607.379120	0.526232	
8607.380602	0.530470	
8607.382364	0.537314	
8607.383867	0.485466	
8607.385612	0.536653	
8607.387149	0.460591	
8607.388648	0.474920	
8607.390231	0.439708	
8607.391726	0.459064	
8607.393372	0.419454	
8607.394884	0.406897	
8607.396538	0.411244	
8607.398034	0.330549	
8607.399656	0.392142	
8607.401145	0.331407	
8607.402798	0.386063	
8607.404291	0.302113	
8607.405915	0.385797	
8607.407410	0.322854	
8607.409107	0.397080	
8607.410590	0.310786	
8607.412257	0.351870	
8607.413771	0.319829	
8607.415417	0.368201	
8607.416958	0.273330	
8607.418575	0.316111	
8607.420159	0.212571	
8607.421843	0.335056	
8607.423433	0.285254	
8607.425065	0.352330	
8607.426675	0.188715	
8607.428322	0.281895	
8607.429928	0.200663	
8607.431562	0.272045	
8607.433183	0.147433	
8607.434795	0.233917	
8607.436441	0.119783	
8607.438026	0.249487	
8607.439715	0.124105	
8607.441306	0.181259	
8607.442980	0.121813	
8607.444564	0.166689	
8607.446264	0.094537	
8607.447824	0.107299	
8607.449523	0.047998	
8607.451068	0.037726	
8607.452782	0.044824	
8607.454308	0.086581	
8607.456051	0.005407	
8607.457536	0.006692	
8607.459294	-0.023992	
8607.460785	0.006942	
8607.462567	-0.038309	
8607.464044	-0.053584	
8607.465817	-0.050889	
8607.467299	-0.080912	
8607.469049	-0.080981	
8607.470547	-0.131314	
8607.472271	-0.079361	
8607.473783	-0.179880	
8607.475534	-0.120168	
8607.477055	-0.150932	
8607.478772	-0.140294	
8607.480303	-0.179441	
8607.481993	-0.168637	
8607.483545	-0.307658	
8607.485237	-0.185624	
8607.486802	-0.301563	
8607.488458	-0.199055	
8607.490054	-0.339603	
8607.491717	-0.226987	
8607.493325	-0.342809	
8607.494969	-0.241288	
8607.496566	-0.380124	
8607.498195	-0.306212	
8607.499847	-0.437104	
8607.501442	-0.332718	
8607.503108	-0.432552	
8607.504583	-0.425930	
8607.506157	-0.402247	
8607.507632	-0.480328	
8607.509280	-0.405059	
8607.510770	-0.464565	
8607.512389	-0.445310	
8607.513904	-0.526936	
8607.515488	-0.483510	
8607.517034	-0.531403	
8607.518548	-0.531512	
8607.520147	-0.555718	
8607.521715	-0.477536	
8607.523329	-0.573842	
8607.524872	-0.473226	
8607.526534	-0.588694	
8607.528039	-0.549728	
8607.529725	-0.588940	
8607.531214	-0.523306	
8607.532937	-0.600590	
8607.534407	-0.597302	
8607.536129	-0.609077	
8607.537652	-0.580943	
8607.539380	-0.635419	
8607.540864	-0.602249	
8607.542642	-0.604799	
8607.544122	-0.629823	
8607.545888	-0.679573	
8607.547372	-0.691585	
8607.549154	-0.696427	
8607.550640	-0.703441	
8607.552406	-0.718366	
8607.553902	-0.723917	
