time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
8834.117017	333.759644	-0.945751	0.008943	191
8836.146241	333.551270	-0.811294	0.007934	193
8838.170154	333.720581	-0.691221	0.007091	195
8840.189793	333.623627	-0.588839	0.006876	197
8842.202375	332.577698	-0.498521	0.007082	199
8844.218454	331.869629	-0.409865	0.004422	201
8846.262806	334.593567	-0.338663	0.000212	203
8848.298882	335.690460	-0.302284	0.006483	205
8850.282738	330.605011	-0.255648	0.006334	207
8852.311557	331.322327	-0.198009	-0.000367	209
