time (s)	magX	magY	magZ
8976.769274	405.706573	-165.296082	629.519714
8976.772597	403.953186	-163.542725	646.877991
8976.775930	403.894745	-161.614029	662.599731
8976.779267	400.504913	-158.691772	676.568237
8976.782600	399.745117	-156.353943	693.166687
8976.785933	396.764404	-154.249908	709.063843
8976.789298	394.134369	-151.093872	725.603882
8976.792598	387.997620	-147.704025	740.273682
8976.795932	385.367584	-145.366211	756.813660
8976.799264	379.990601	-141.275055	772.243286
8976.802599	374.788971	-138.294327	787.497498
8976.805925	370.171783	-133.735596	804.271301
8976.809256	364.327240	-130.228867	818.999512
8976.812591	357.489136	-126.371483	833.318665
8976.816851	343.170013	-116.727997	862.833557
8976.820195	336.916351	-112.519936	874.873291
8976.823571	328.149567	-108.136528	889.426208
8976.826792	318.973633	-103.227119	902.985535
8976.830111	310.089966	-99.135941	915.960388
8976.833059	300.329590	-93.349854	928.409241
8976.836353	291.738129	-87.622208	940.858154
8976.839681	280.575043	-82.479019	951.144470
8976.843022	269.353546	-77.861839	961.723083
8976.846364	258.833374	-71.549744	973.003113
8976.849255	247.085876	-65.763649	981.886780
8976.852589	236.215027	-59.509991	992.114685
8976.855939	223.064819	-53.373226	999.128113
8976.859258	211.083527	-47.236469	1009.180725
8976.862589	197.407303	-40.982815	1013.739441
8976.865928	184.432449	-34.553825	1022.973816
8976.869257	171.223801	-27.891054	1025.487061
8976.872585	157.080017	-20.000933	1033.377197
8976.875949	143.462250	-13.162827	1034.779907
8976.879251	128.617126	-5.798712	1040.449097
8976.882590	114.122681	2.149856	1043.897339
8976.885919	99.569794	9.981534	1046.468994
8976.889252	84.198654	17.637877	1047.228760
8976.892586	69.587326	25.820225	1047.696289
8976.895921	54.859093	33.768791	1047.988525
8976.899249	39.721748	41.425133	1046.001343
8976.902585	23.649273	49.665928	1043.838867
8976.905911	8.511927	58.491177	1041.267334
8976.909250	-6.566975	66.673523	1037.877441
8976.912582	-21.470539	75.031204	1032.968018
8976.915921	-36.607887	83.564232	1027.532593
8976.919254	-51.277664	91.337463	1021.804993
8976.922589	-66.590355	99.519814	1016.778625
8976.925915	-80.325005	107.643723	1009.122253
8976.930109	-109.547684	123.365517	992.348450
8976.933430	-123.165451	130.671188	983.347839
8976.936828	-136.257202	137.275513	970.898987
8976.940118	-149.582764	144.464294	962.716614
8976.943506	-161.973160	151.127060	951.027649
8976.946357	-174.363571	157.263824	942.143860
8976.949718	-186.637100	163.049911	927.649475
8976.953035	-198.209305	169.011337	916.603210
8976.956341	-209.080109	174.388306	902.517944
8976.959679	-219.483383	179.414612	892.640625
8976.962600	-229.126877	184.265579	877.211121
8976.965917	-239.822388	188.239853	866.398743
8976.969243	-249.348969	191.980362	851.962708
8976.972578	-257.589752	196.188431	839.630737
8976.975909	-266.473480	199.870483	826.305237
8976.979248	-275.006470	201.799194	812.278320
8976.982580	-282.253693	205.188995	800.004822
8976.985911	-289.033386	208.169739	785.802612
8976.989244	-297.040375	210.682877	770.782166
8976.992589	-303.177155	212.027100	759.268433
8976.995912	-309.372345	214.072708	743.312805
8976.999245	-315.626007	216.118301	729.811890
8977.002575	-321.412109	217.813217	716.720154
8977.005908	-326.029266	218.923676	703.277710
8977.009253	-329.185333	220.910828	687.146790
8977.012583	-333.393402	221.845947	674.288879
8977.015909	-338.887238	222.079712	661.080200
8977.019240	-341.458862	224.242203	647.287109
8977.022609	-343.445984	224.183762	632.383545
8977.025906	-347.303375	224.592865	618.005920
8977.029239	-350.050323	224.183762	605.323303
8977.032570	-351.336121	225.177322	592.173096
8977.035926	-354.083038	225.527985	576.685120
8977.039238	-354.725952	224.651321	563.593323
8977.043925	-357.940460	226.287781	535.598022
8977.046784	-357.648224	225.703323	522.272522
8977.050170	-358.934021	224.651321	510.232758
8977.053493	-357.297546	224.943558	495.913666
8977.056758	-358.232666	223.190170	484.633698
8977.059665	-359.109344	222.781067	473.353729
8977.062998	-357.823547	222.079712	460.320404
8977.066350	-356.654633	221.086151	448.163788
8977.069661	-355.602631	220.910828	436.883881
8977.072991	-354.667511	219.215897	427.065033
8977.075902	-353.206360	218.748337	413.388824
8977.079251	-352.446564	216.761200	403.160889
8977.082564	-351.686768	215.007843	392.348480
8977.085894	-350.517883	213.312927	383.406342
8977.089235	-347.887848	212.903793	372.944641
8977.092565	-347.361847	210.858215	364.353180
8977.095901	-344.147339	209.163300	353.774536
8977.099253	-343.095306	207.176147	344.423309
8977.102569	-341.166626	206.007248	336.591614
8977.105897	-337.659882	203.727875	328.058594
8977.109264	-335.438965	201.565399	321.103607
8977.112569	-334.620758	198.760025	312.979706
8977.115902	-330.704926	197.824890	303.920654
8977.119228	-330.588013	195.603973	297.024109
8977.122575	-326.496826	193.733719	290.069122
8977.125894	-326.087738	190.811447	283.523224
8977.129228	-322.405670	189.525665	275.808472
8977.132568	-319.775604	187.889191	268.444336
8977.135896	-318.022278	185.083801	262.950470
8977.139229	-315.158447	183.856461	256.872162
8977.142558	-313.697296	180.934189	251.027618
8977.145894	-310.833496	179.531494	244.715546
8977.149228	-308.144989	176.667679	238.403442
8977.152569	-307.268311	176.083221	232.442017
8977.155888	-303.469360	173.920746	227.240356
8977.160150	-299.261292	169.420456	215.960419
8977.163415	-295.111694	167.550201	210.758759
8977.166742	-294.235016	166.205963	205.498688
8977.170070	-290.903625	164.861710	200.297058
8977.173431	-289.033386	163.575928	196.264313
8977.176321	-285.818878	161.822556	190.302887
8977.179672	-284.007050	159.192505	185.685699
8977.183004	-281.318573	157.848267	180.834747
8977.186337	-278.513214	156.445587	176.918915
8977.189294	-275.941589	154.926010	171.483490
8977.192557	-272.317993	153.114197	167.450775
8977.195906	-270.097076	152.295975	163.418030
8977.199219	-267.759277	150.893280	159.209961
8977.202556	-265.187653	149.081467	155.294128
8977.205884	-262.674500	147.444992	152.138062
8977.209224	-260.219788	146.159210	148.163788
8977.212557	-259.343140	144.756516	145.416870
8977.215886	-255.836395	143.412277	141.150360
8977.219221	-253.849243	141.483582	139.046326
8977.222554	-251.336121	140.957565	134.838257
8977.225889	-249.699646	138.970413	132.149780
8977.229218	-247.946289	138.385971	128.993713
8977.232582	-245.725372	136.807953	126.948128
8977.235889	-243.913544	136.048157	124.259636
8977.239217	-242.160187	134.411697	121.863380
8977.242551	-239.880829	133.651901	119.350243
8977.245886	-238.887238	131.781647	116.837090
8977.249216	-236.900116	131.080307	114.090157
8977.252554	-235.146759	129.969849	113.155022
8977.255914	-233.393402	128.859375	111.050987
8977.259215	-232.341370	128.099594	109.239189
8977.262548	-231.114014	126.638458	107.076714
8977.265883	-228.776199	125.995560	106.375359
8977.269218	-227.607315	124.768204	103.745323
8977.273842	-224.451248	122.897957	100.530830
8977.276785	-224.042145	121.144592	99.303474
8977.280088	-222.580994	120.560143	98.193016
8977.283480	-221.762772	120.267914	96.614998
8977.286810	-220.418518	118.689896	95.621422
8977.289661	-220.126312	117.871651	93.575844
8977.292976	-218.022263	117.170311	92.699150
8977.296311	-216.678009	116.235184	91.238014
8977.299629	-215.976685	115.709167	89.835320
8977.302974	-214.690887	115.358505	87.322182
8977.305886	-213.405075	114.774048	87.672859
8977.309217	-212.236176	113.838921	85.919487
8977.312550	-211.008820	113.429810	84.458351
8977.315876	-211.359497	112.553131	81.945213
8977.319237	-210.015259	112.260902	81.536095
8977.322545	-209.138580	111.325775	80.484077
8977.325873	-207.911224	111.793335	79.432060
8977.329208	-207.034531	110.624428	78.555382
8977.332539	-206.099396	110.215317	78.146263
8977.335873	-205.281174	109.923088	77.152687
8977.339210	-203.586258	110.039970	75.282433
8977.342584	-202.125137	109.689308	75.399330
8977.345876	-203.177155	109.163292	73.645966
8977.349206	-202.534241	108.871063	73.645966
8977.352537	-200.488647	108.578850	73.879745
8977.355870	-200.839340	108.169724	73.353737
8977.359206	-200.371750	107.585274	71.541931
8977.362570	-198.501511	106.650146	70.723701
8977.365869	-198.793732	107.585274	71.191269
8977.369209	-197.741730	106.883926	70.080795
8977.372538	-197.683273	107.117706	70.080795
8977.375869	-196.748154	106.357918	70.139244
8977.379209	-196.865051	106.650146	70.139244
8977.382536	-197.040375	106.007248	70.139244
8977.387240	-197.683273	105.831909	69.788582
8977.390130	-197.332611	106.007248	69.321014
8977.393471	-197.800171	105.422791	69.437904
8977.396721	-196.631256	105.189011	68.911888
8977.400061	-197.566376	105.189011	69.554802
