crossing time (s)	slope (V/s)	crossing number
9063.017041	53.737723	8611
9064.054432	46.157315	8612
9065.068913	42.193064	8613
9066.091586	38.581750	8614
9067.088440	34.083671	8615
9068.114807	31.919678	8616
9069.114659	27.164233	8617
9070.133473	24.136489	8618
9071.123914	22.208291	8619
9072.144195	19.593942	8620
9073.166613	18.222205	8621
9074.158077	15.236077	8622
9075.213643	12.723327	8623
9076.160889	13.346918	8624
9077.222191	10.563472	8625
9078.241512	9.537380	8626
9079.214198	8.116163	8627
9080.239124	7.444462	8628
9081.242101	6.386159	8629
9082.300629	4.783070	8630
9083.284817	6.888609	8631
9084.270928	4.100335	8632
9085.327496	2.956314	8633
9086.290704	4.897100	8634
9087.327633	3.724906	8635
